#GRB 	Redshift 	T90 	log (M*/M☉) 	SFR 	log (Z/Z☉) 	SSFR 	AV
#		[s] 		[M☉ yr^-1] 		[Gyr^-1] 	
GRB 090510 	0.9030 	0.30 	9.90 	0.30 	 -1.0  	0.04 	 -1.0 
GRB 090426 	2.6090 	1.25 	10.81 	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 090424 	0.5440 	48.00 	 -1.0  	0.80 	 -1.0 0.30 	 -1.0  	 -1.0 
GRB 090423 	8.2300 	10.30 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 090417B 	0.3450 	999.99 	10.14 	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 090407 	1.4480 	310.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 090328 	0.7354 	57.00 	9.82 	3.60 	 -1.0  	0.54 	 -1.0 
GRB 090323 	3.5690 	160.00 	11.20 	6.00 	0.07 	 -1.0  	 -1.0 
GRB 090205 	4.6503 	8.80 	10.83 	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 090113 	1.7493 	9.10 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 090102 	1.5470 	27.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 081221 	2.2600 	34.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 081109 	0.9790 	190.00 	9.82 	9.90 	 -1.0  	1.50 	 -1.0 
GRB 081029 	3.8479 	270.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 081008 	1.9683 	185.50 	 -1.0  	 -1.0  	 -1.0 0.52 	 -1.0  	 -1.0 
GRB 081007 	0.5295 	10.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 080928 	1.6920 	280.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 080913 	6.6920 	8.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 080810 	3.3550 	106.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 080805 	1.5042 	78.00 	9.70 	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 080804 	2.2045 	34.00 	 -1.0  	 -1.0  	 -1.0 0.75 	 -1.0  	 -1.0 
GRB 080710 	0.8454 	120.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 080607 	3.0360 	79.00 	10.60 	19.00 	 -1.0  	 -1.0  	3.20
GRB 080605 	1.6403 	20.00 	9.90 	31.00 	 -1.0 0.25 	3.90 	0.20
GRB 080603 	1.6874 	60.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 080517 	0.0890 	64.60 	9.60 	16.00 	 -1.0  	 -1.0  	0.16
XRF 080515 	2.4700 	21.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 080430 	0.7670 	16.20 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
XRF 080330 	1.5119 	61.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 080325 	1.7800 	128.00 	10.80 	9.00 	 -1.0  	 -1.0  	 -1.0 
GRB 080319B 	0.9370 	50.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 080319C 	1.9500 	34.00 	12.22 	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 080310 	2.4274 	365.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 080210 	2.6410 	45.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 080207 	2.0858 	340.00 	11.51 	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 080123 	0.4950 	0.40 	10.02 	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 071227 	0.3810 	1.80 	10.65 	0.60 	 -1.0 0.20 	 -1.0  	 -1.0 
GRB 071031 	2.6920 	180.00 	 -1.0  	 -1.0  	 -1.0 1.85 	 -1.0  	 -1.0 
GRB 071021 	2.4520 	225.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 071020 	2.1462 	4.20 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 070810 	2.1700 	9.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 070802 	2.4541 	16.40 	9.85 	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 070724 	0.4571 	0.40 	9.92 	15.30 	 -1.0  	1.80 	 -1.0 
GRB 070721B 	3.6298 	340.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 070714B 	0.9224 	2.00 	9.45 	0.90 	 -1.0  	0.30 	 -1.0 
XRF 070714 	1.5800 	2.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 070612 	0.6710 	370.00 	 -1.0  	81.00 	 -1.0 0.40 	 -1.0  	 -1.0 
GRB 070611 	2.0394 	13.20 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 070521 	2.0865 	37.90 	10.50 	40.00 	 -1.0  	 -1.0  	 -1.0 
GRB 070518 	1.1610 	5.50 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 070506 	2.3090 	4.30 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 070429B 	0.9020 	0.50 	10.42 	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 070419B 	1.9591 	238.10 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 070419 	0.9705 	116.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 070318 	0.8397 	63.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 070306 	1.4959 	210.00 	10.36 	13.00 	 -1.0 0.29 	 -1.0  	1.30
GRB 070224 	1.9922 	34.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 070129 	2.3384 	459.10 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 070125 	1.5471 	60.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 070110 	2.3521 	79.70 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 070103 	2.6208 	18.40 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 061222 	2.0880 	72.00 	8.04 	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 061217 	0.8270 	0.21 	9.24 	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 061210 	0.4095 	0.19 	9.52 	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 061126 	1.1588 	191.00 	10.62 	2.38 	 -1.0  	 -1.0  	 -1.0 
GRB 061121 	1.3145 	81.00 	10.20 	27.00 	 -1.0  	 -1.0  	0.45
GRB 061110B 	3.4344 	128.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 061110 	0.7578 	44.50 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 061021 	0.3463 	46.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 061007 	1.2622 	75.70 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 061006 	0.4377 	0.42 	8.86 	0.17 	 -1.0  	 -1.0  	 -1.0 
GRB 060927 	5.4636 	22.60 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 060926 	3.2060 	8.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 060912 	0.9370 	5.98 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 060908 	1.8836 	19.30 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 060906 	3.6860 	43.60 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 060904B 	0.7029 	192.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 060814 	1.9229 	144.90 	10.20 	200.00 	 -1.0  	 -1.0  	1.20
GRB 060801 	1.1304 	0.50 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 060729 	0.5428 	115.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 060719 	1.5320 	66.90 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 060714 	2.7108 	116.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 060707 	3.4240 	68.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 060614 	0.1250 	102.00 	7.95 	0.01 	 -1.0  	 -1.0  	 -1.0 
GRB 060607 	3.0749 	100.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
GRB 060605 	3.7730 	19.00 	 -1.0  	 -1.0  	 -1.0  	 -1.0  	 -1.0 
